Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
19,-0.0048658418,-0.011159509,0.0061306883,0.0002411963,-0.0322626969,0.0571314423,0.0007186897,0.0023540872,0.0155299599,0.0065570562,0.0488140254,-0.0015655892,0.0356334842,-0.0121630506,-0.0016851441,0.0014760148,0.0126382306,0.0180315173,-0.016897609,-0.0044022562
20,0.0079594182,0.0268362104,-0.025784209,0.0305741984,-0.0310746255,-0.0195848022,0.0234601835,-0.0144011521,0.0023999481,-0.0066109275,0.0104202848,0.0098816232,-0.0401737242,-0.0058823529,-0.0104440934,-0.0065982405,-0.0394537178,-0.0028204956,0.0289572979,-0.0081866558
21,0.0059699599,0.0118566727,0.0010207554,0.001493652,0.0170283019,-0.0131426363,-0.0002709188,-0.0033490152,0.0150776929,0.0044921875,-0.0068989307,0.0097683534,-0.0274551214,-0.0132215414,0.0092116918,0.0217228464,0.0213887167,0.0394932026,0.0016813823,-0.0101296596
22,-0.0112825445,0.0175451951,0.0422513805,0.0027458812,-0.0031972917,0.0153061224,-0.001236954,0.0399701468,-0.0020369275,-0.0011705033,-0.0441806792,-0.0000461,0.0122928915,0.0094401042,0.0253382981,0.0083081571,0.0112852665,0.0091224486,0.0035178283,0.0083072314
23,-0.0092792046,-0.018344168,0.0017762891,-0.0344661364,0.0164404512,0.0155440415,0.0232576537,-0.0059352073,0.0268537885,0.0043103448,-0.0800727934,-0.0037467312,-0.0300673924,-0.0366886171,-0.0037097358,-0.0405797101,-0.0099317194,0.0099603365,-0.0019898506,-0.036351706
24,-0.0094717046,0.0282750672,0.0071045234,0.0300397219,0.0342032424,0.0096579477,-0.0026431023,0.0071398921,0.0336146175,0.0107931478,0.0460025381,0.0023504044,0.0062597809,0.0217878885,0.0175858577,0.0337078652,0.0761523046,0.0341954234,0.0120189456,0.0123555201
25,0.0206111452,-0.0065643844,-0.0127661722,-0.0189965904,-0.0066771406,-0.0386847195,0.0017387868,-0.0201740828,-0.0117168654,-0.0052206462,-0.0331288344,-0.0206419264,0.0047169811,0.0179386823,-0.0030291904,0,-0.0170715693,-0.0170858269,0.002610807,0.004269513
26,-0.0466266078,-0.0366203397,-0.0212366653,-0.0322884751,-0.0030347528,-0.0256313607,-0.0066342153,0.0120194287,-0.0120859293,-0.0125474176,-0.0094196293,-0.0080660773,-0.0280183393,-0.0125603865,-0.0253198533,-0.0729166667,-0.0224646983,-0.0157665273,-0.0282240446,-0.0142049191
27,-0.0197831872,0.034380467,-0.0273334294,0.0258704062,-0.0139009557,0.0053050398,0.0156692317,-0.0005759421,-0.0081715347,-0.0021353004,-0.0027272727,0.0173718949,0.0155199172,0.0032310178,0.0001789709,-0.0170648464,-0.0238095238,0.0036255179,-0.011731635,0.0175321199
28,0.0315912715,0.0160754309,0.005360765,0.01001221,0.0138487888,-0.0333333333,-0.0111575461,-0.0061329626,-0.0092004015,-0.0181073096,-0.0328253224,0.0030696756,0.0041558442,-0.0137029955,0.0088471608,-0.0034013605,-0.0371040724,-0.0110041508,-0.0026756912,-0.0026695141
29,0.0182105934,0.0193406074,-0.0073349633,0.0377597567,0.0007345739,0.0088691796,0.0110012755,0.004765426,0.0032221253,0.022211398,0.0047114252,0.0029517258,0.0104986877,0.0125847047,0.0264084507,-0.0134228188,-0.0098566308,-0.0007765757,0.0014914949,0.0173818577
30,0.0199291439,-0.0039235689,-0.0102960714,-0.0005065856,-0.0260421635,-0.011687363,-0.0139140005,-0.0145737187,0.0025573726,-0.0113647308,-0.0017636684,0.0115215425,-0.032503809,-0.0117984694,-0.0087260035,-0.0261437908,0.0069172932,-0.0140430863,0.0086700984,-0.0108797851
31,0.0349448563,-0.0084422658,-0.0121859768,-0.013,-0.0100571321,0.0032979113,0.0027194262,0.013540128,0.0002019386,0.0046444122,-0.015625,0.0121294081,0.0255208333,0.0038412292,0.0047992617,0.0479452055,0.0039251208,0.0083877308,-0.0065388272,0.0029637613
32,0.0346827297,-0.010966178,-0.0265979287,-0.0167158309,0.0069414729,-0.0172848398,-0.0063053184,-0.00822007,-0.0229851041,-0.0101522843,0.0123022847,-0.0011429759,-0.0361445783,-0.0031908105,-0.0190131281,-0.0363036304,-0.0039097744,-0.0180915952,-0.0042868526,-0.0002693603
33,0.0223221799,-0.0030305355,-0.0076961383,-0.0073206442,0.0211681313,-0.0235583685,-0.003395652,0.0014671122,-0.0114101814,-0.0112689394,-0.0130095403,-0.011549384,-0.0099403579,0.0041653316,-0.0133988388,-0.0194174757,-0.0272088941,0.0097955633,-0.007519978,-0.0166865316
34,0.0071265129,-0.0028306939,0.0447923564,-0.0050983248,0.0600617602,-0.0199862164,-0.0037329393,0.0058206263,-0.0188185762,-0.0070521862,-0.0117142857,-0.0018197289,-0.0194931774,-0.0145247869,0.0019690325,-0.0283018868,-0.0344632768,-0.0056916476,-0.0069016096,0.0037219194
