Id,ABOTT_INDIA,ACC,AJANTA_PHARMA,AMBUJA_CEMENT,APPOLO_HOSPITAL_ENTERPRISE,ASHOK_LEYLAND,ASIAN_PAINTS,AUROBINDO_PHARMA,AVENUES_APARTMENT,AXIS_BANK,NCL,NESTLE_INDIA,NIIT,NTPC,RBL_BANK,RCOM,ROYAL_ORCHID_HOTELS,BAJAJ_AUTO,BOSCH,AIRTEL
55,6793.35,1400.15,1053.7,217,1019.5,154.4,1309.7,595.3,1495.15,539.5,219.85,9695.15,103.8,167.45,513,16.55,218.55,2819.15,17939.4,366.55
56,6766.45,1410.6,1061.05,211.35,1028.6,152.65,1320.8,602.65,1496.05,549.35,221.25,9637.6,105.95,169.6,513.95,10.55,219.3,2808.25,18165.85,375.35
57,6618.05,1411.75,1049,214.55,1041.95,151.05,1310.05,603.1,1485.55,549.45,214.6,9547.45,101.35,170.15,511.95,12.45,214.2,2827.8,18307.7,379.4
58,6557.15,1448.1,1065.1,217.65,1023.2,155.05,1298.45,611.25,1424.15,552.25,217.95,9573.45,102.35,171.75,515.35,13.5,209.85,2834.7,18198.6,381.5
59,6330.85,1471,1059.4,217.35,1042,161.85,1289.6,609.45,1454.5,553.2,223.15,9506.6,108.5,167.55,518.1,13.7,214.9,2816.45,18601.55,385.7
60,6239.55,1495.6,1101.3,220.4,1025.65,160.7,1214.7,593.85,1457.25,547.65,223.35,8986.45,105.95,168.15,519.05,13.95,210.4,2827.8,18679.7,412.25
61,6299.35,1510.6,1136.9,225.15,1046.8,162.1,1224.1,608.9,1448.1,548.6,227.65,9092,108.7,170.2,515,15.05,219,2874.25,18915.1,402.6
62,6257.35,1519.35,1158.45,230,1071.75,165.45,1205.6,618.2,1463.45,541.25,215.15,9116.95,109.5,171.25,518.55,15.15,222,2891.75,19032.55,400.75
63,6271.65,1525.75,1155.1,235.05,1079,165.05,1212.9,620.35,1463.55,534.95,219.9,9088.4,107.2,170.5,523.1,15.55,226.6,2917.05,19517.4,398
64,6297.95,1530.35,1198.4,236.95,1098.15,164.1,1194.25,612.45,1489.55,520.3,223,9103.15,111.35,171.05,521.85,15.35,214.5,2890.5,19285.3,396.6
65,6307.15,1538.9,1266.5,240.45,1066.65,163.55,1206.5,619.15,1492.75,532.4,227.85,9120.1,111.05,174.4,520,15.05,217.05,2971.9,19379.45,404.4
66,6135.7,1561,1341.45,245.65,1081.45,161.45,1221.75,632.4,1493.4,523.45,233.25,9224,113.7,170.45,518.2,16.05,221.75,2965.25,19458.5,408
67,6142,1583.5,1351.45,250,1088.7,164.45,1200.15,641.05,1493.15,518.05,240.1,9406.35,114.95,172.05,530.95,15.25,222.45,2948,19402.6,409.55
68,6168.95,1560.4,1352.25,244.5,1072.6,162,1184.45,630.25,1483.75,538.9,243.65,9057.5,113.2,170.85,536.2,15.9,223.35,2936.8,19586.1,408.95
69,6086.95,1547,1364.3,242.75,1080.2,162.75,1159.85,628.3,1474.15,494.55,244.95,9061.55,113.15,172.25,519.75,16.8,222.2,2886.1,19630.75,408.85
70,6192.2,1565.6,1356.1,245.55,1087.2,163.95,1165.25,623.9,1480.4,498.4,236.35,8734.65,113.25,171.8,520.85,17.7,218.25,2899.9,19539.6,419.8
71,6212.45,1565.95,1377.35,246.95,1109.4,158.85,1173.1,635.75,1476.35,505.25,235.8,8823.3,114.15,172.9,511.55,17.95,221.5,2889.75,19587.25,406.1
72,6144.3,1567.6,1387.1,247.05,1130.85,159.35,1178.6,641.3,1489.4,506.45,237.2,8924.45,117.25,173.55,502.4,20.05,208.25,2854.05,19635.1,403.65
73,6137.75,1565.55,1366.4,246.35,1132.6,155.25,1159.1,618.5,1474.55,505.85,238.5,9165.4,109.1,174.25,506.05,20.4,210.25,2853.6,19462.95,400.75
74,6162.7,1574.25,1382.5,247.25,1121.95,151.05,1166.8,617.15,1486.65,513.5,241.75,9153.5,104.75,177.45,508.8,20.8,214.75,2855.1,19520.7,394.95
75,6182.15,1573.15,1385.4,244.8,1075.35,149.1,1171.25,609.75,1492.85,518.7,239.6,8987.1,103.05,178.3,509.3,21.05,219.5,2862.65,19411.3,384.8
76,6296.3,1584.6,1376.4,244.45,1085.3,149.05,1175.15,619.8,1506.5,532.55,239.95,9015.95,105.8,177.15,512.55,21.1,205.1,2863,19414.75,381.3
77,6447.45,1572.05,1382.8,241.4,1095.3,150.9,1177.9,623.85,1481.2,542.2,242.95,8744.7,106,173.7,510.1,21.1,171.35,2839.8,19535.4,377.2
78,6497.45,1538.45,1364.7,237.25,1082.25,149.45,1162.8,620.1,1468.9,541.9,243.2,8692.3,108.65,171.05,501.4,22.3,173.15,2789.4,19595.9,377.8
79,6075.75,1525.5,1382.75,236.35,1077.4,144.9,1164.15,610.35,1470.1,548.3,243.45,8627.35,106.2,169.25,498.85,22.25,172,2764.15,20153.75,380.1
80,5780.8,1535.6,1375.65,237.3,1105.8,144.85,1155.5,617.2,1472.9,539.5,247.3,8473.6,106.75,168.4,503.75,22.85,174.3,2755.4,19888.65,384.55
81,5752.95,1539.95,1380.95,235.05,1082.3,145.3,1155.3,607.9,1488.65,546,246.1,8503.45,108.2,168.35,500.85,23.25,181.4,2767,19764.8,385.55
82,5765.7,1542.45,1377.9,236.85,1061.05,146.25,1158.05,612,1438.65,517.9,243.45,8388.55,111.25,169.1,495.85,23.8,179.8,2770.45,19966,380.75
83,5698.6,1553.35,1393.9,238.95,1074.95,146.4,1143.8,619.75,1421.25,500.7,250.1,8355.5,112.75,169.1,493.65,24.35,174.3,2783.05,19837.8,385.4
84,5683.45,1550.6,1392.8,238.35,1082.1,146.9,1145.2,599.25,1400.3,503.15,243.2,8395.7,111.4,168.7,496.9,23.35,176.7,2810.55,19549.8,393.95
85,5616.45,1528.65,1388.25,236.5,1066.5,145.7,1137.6,590.45,1357.85,490.15,232.5,8358.8,109.25,166.35,487.9,22.35,171.2,2766.35,19680.1,394.5
86,5617.55,1550.75,1401.5,240.75,1093.25,147.7,1152.9,593.15,1364.35,503.3,230.65,8360.7,111.5,169.5,483.3,22.65,169.75,2791.75,19116.15,401.65
87,5509.6,1537,1405.6,240.7,1096.85,148.1,1149.15,592.9,1356.45,498.2,234.5,8309.1,104.65,170.3,483.05,22.55,164.55,2808.6,18555.5,394.45
88,5449.1,1508.2,1405.8,233.3,1062.65,145.3,1120.7,557.25,1327,509.4,218.05,8202.15,99.7,169.7,476.9,21.75,160.75,2748.9,18136.65,398.9
89,5362.75,1524.5,1421.75,231.95,1030.25,144.65,1131.75,559.9,1350.55,511.25,218.15,8083.85,96.3,171,476.95,23.75,167,2803.2,17705.95,411.45
90,5356.3,1531.55,1400.75,231.05,1006.9,144.15,1118.8,549.95,1339.25,507.5,217.9,7813.25,90.05,170.1,464.9,23.35,167.15,2839.15,17284.55,421.65
91,5385.2,1527.8,1359.1,226.95,1006.95,142.05,1107.65,550.55,1281,501,217.3,7797.55,85.7,170.15,461.45,22.75,165,2789.75,17306.9,411.15
